# Base attributes derived from data provider resources (BAFU, Swisstopo, etc.).
gauge_id;country;gauging_st;water_body;type;id6;id12;shape_leng;shape_area;super_catc;sub_catchm;h1;h2;ext_ch;ext_de;ext_at;ext_li;ext_it;ext_fr;ext_r1981;ext_tabs;ext_srel;ext_sim;ext_r1992
2066;CH;St. Moritz;St. Moritzersee;lake;StMSMS;784940152420;71723.1295048;1.71190290314e8;1;1;432;439;99.95;0.0;0.0;0.0;0.05;0.0;100.0;100.0;100.0;100.0;100.0
2067;CH;Martina;Inn;stream;InnMar;830640197190;293431.436471;1.93747408667e9;1;1;423;452;87.09;0.0;0.06;0.0;12.85;0.0;99.98;93.99;93.94;99.98;99.98
2068;CH;Riazzino;Ticino;stream;TicRia;713670113500;293896.44286;1.61326807009e9;1;1;501;518;99.84;0.0;0.0;0.0;0.16;0.0;100.0;100.0;100.0;100.0;100.0
2070;CH;Emmenmatt;Emme;stream;EmmEmT;623610200420;123739.674159;4.43030496687e8;1;1;288;293;100.0;0.0;0.0;0.0;0.0;0.0;98.86;98.86;98.86;98.86;98.86
2072;CH;Sils Baselgia;Silsersee;lake;SiBSil;777870145180;39471.5858051;4.57674227354e7;0;1;435;436;99.91;0.0;0.0;0.0;0.09;0.0;100.0;100.0;100.0;100.0;100.0
2073;CH;Silvaplana;Silvaplanersee;lake;SiSSil;781560148150;62931.5647806;1.37296263211e8;1;1;434;437;99.93;0.0;0.0;0.0;0.07;0.0;100.0;100.0;100.0;100.0;100.0
2074;CH;Brissago;Lago Maggiore;lake;LaMBri;698350108200;545621.619097;6.59007387961e9;1;1;519;520;50.87;0.0;0.0;0.0;49.13;0.0;62.41;62.2;61.17;98.56;98.54
2078;CH;Le Prese;Poschiavino;stream;PosLeP;803490130520;71374.4234679;1.67711697827e8;1;0;648;653;99.51;0.0;0.0;0.0;0.49;0.0;99.58;99.58;99.58;98.98;99.58
2079;CH;Le Prese;Canale industriale;stream;CinLe ;803462130547;6318.3496945;1.00272061412e6;0;1;651;652;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2081;CH;Pfäffikon;Pfäffikersee;lake;PfSPfa;701460246705;33149.4227195;2.89130796512e7;0;1;372;373;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2082;CH;Greifensee;Greifensee;lake;GrSGre;693380246690;69889.2800155;1.64023069586e8;1;1;182;185;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2084;CH;Ingenbohl;Muota;stream;MuoIng;688262206170;121833.493878;3.1661900136e8;1;1;335;338;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2085;CH;Hagneck;Aare;stream;AarHag;580680211650;498751.304197;5.11186428501e9;1;1;234;281;100.0;0.0;0.0;0.0;0.0;0.0;99.92;99.92;99.92;99.92;99.92
2086;CH;Loderio;Brenno;stream;BreLod;717770137270;112466.893877;4.002444602e8;0;1;509;510;100.0;0.0;0.0;0.0;0.0;0.0;98.94;98.94;98.94;99.19;98.94
2087;CH;Andermatt;Reuss;stream;ReuAnd;688120166320;78440.3541525;1.90181550256e8;0;1;343;344;100.0;0.0;0.0;0.0;0.0;0.0;99.38;99.38;99.38;99.38;99.38
2088;CH;Sarnen;Sarnersee;lake;SaSSar;661260193270;80456.3734631;2.68402309081e8;1;1;356;357;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2091;CH;Rheinfelden, Messstation;Rhein;stream;RheRhe;627190267840;1.51799095241e6;3.44793732243e10;1;1;5;398;76.88;15.26;6.91;0.46;0.15;0.33;99.98;81.14;80.94;99.66;99.98
2093;CH;Spiez, Kraftwerk BKW;Thunersee;lake;ThSSpi;617280171750;335577.755903;2.45153640662e9;1;1;239;250;100.0;0.0;0.0;0.0;0.0;0.0;99.49;99.49;99.49;99.49;99.49
2097;CH;Meisterschwanden;Hallwilersee;lake;HaSMei;659125238615;69544.1860262;1.392252343e8;1;1;320;321;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2099;CH;Zürich, Unterhard;Limmat;stream;LimZue;682055249430;310007.169162;2.17393465632e9;1;1;368;393;100.0;0.0;0.0;0.0;0.0;0.0;99.5;99.5;99.5;99.45;99.5
2101;CH;Melide, Ferrera;Lago di Lugano;lake;LdLMel;717070091650;92647.114428;2.98975118934e8;1;1;479;482;36.9;0.0;0.0;0.0;63.1;0.0;68.57;63.88;60.21;68.57;68.57
2102;CH;Sarnen;Sarner Aa;stream;SarSar;661460194220;80427.5985081;2.69294974357e8;1;1;355;358;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2104;CH;Weesen, Biäsche;Linth;stream;LinWee;725160221380;189405.419622;1.06150282458e9;1;1;379;388;100.0;0.0;0.0;0.0;0.0;0.0;99.95;99.95;99.95;99.95;99.95
2105;CH;St. Moritzbad;Inn;stream;InnStM;783910150960;65973.5318553;1.55396921692e8;1;1;433;438;99.94;0.0;0.0;0.0;0.06;0.0;100.0;100.0;100.0;100.0;100.0
2106;CH;Münchenstein, Hofmatt;Birs;stream;BirMue;613570263080;192772.852128;8.87308226707e8;1;1;399;408;97.82;0.0;0.0;0.0;0.0;2.18;99.51;99.51;99.51;99.51;99.51
2109;CH;Gsteig;Lütschine;stream;LueGst;633130168200;100394.698982;3.80659945419e8;1;1;241;244;100.0;0.0;0.0;0.0;0.0;0.0;99.3;99.3;99.3;99.3;99.3
2110;CH;Mühlau, Hünenberg;Reuss;stream;ReuMue;672520230600;390346.055156;2.90227544348e9;1;1;332;365;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2112;CH;Appenzell;Sitter;stream;SitApp;749040244220;43883.3310157;7.44353793683e7;0;1;174;175;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2113;CH;Felsenau, K.W. Klingnau;Aare;stream;AarFel;659150271790;957884.011074;1.76870523918e10;1;1;197;396;99.35;0.0;0.0;0.0;0.0;0.65;99.92;99.92;99.92;99.87;99.92
2116;CH;Koblenz;Rhein;stream;RheKob;659790273390;1.13557935772e6;1.59058046577e10;1;1;7;196;54.2;29.48;14.99;1.01;0.33;0.0;100.0;62.03;61.6;99.38;100.0
2117;CH;Le Châble, Villette;Drance de Bagnes;stream;DraLeC;582550103270;83944.1404218;2.53721819223e8;0;1;602;603;99.98;0.0;0.0;0.0;0.02;0.0;100.0;100.0;100.0;100.0;100.0
2118;CH;Murg;Walensee;lake;WaSMur;734430219560;190583.579144;1.06079195095e9;1;1;72;73;100.0;0.0;0.0;0.0;0.0;0.0;99.83;99.83;99.83;99.83;99.83
2119;CH;Fribourg;Sarine;stream;SarFri;579420183670;220490.009291;1.27056153043e9;1;1;271;276;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2122;CH;Moutier, La Charrue;Birse;stream;BirMou;595740237010;93081.421928;1.85795016778e8;0;1;405;406;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2125;CH;Frauenthal;Lorze;stream;LorFra;674715229845;102259.733185;2.61723314816e8;1;1;324;331;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2126;CH;Wängi;Murg;stream;MurWae;714105261720;69761.1398209;8.01453898532e7;0;1;161;162;100.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;100.0;100.0
2130;CH;Laufenburg;Rhein (Oberwasser);stream;RObLau;646000267410;1.52071996924e6;3.40103081447e10;1;1;6;397;77.27;14.76;7.01;0.47;0.15;0.34;99.99;81.4;81.2;99.66;99.99
2132;CH;Neftenbach;Töss;stream;ToeNef;691460263820;114409.791058;3.43330593225e8;0;1;179;180;100.0;0.0;0.0;0.0;0.0;0.0;99.61;99.61;99.61;99.61;99.61
